영화제목,개봉일,예매율,예매매출액,관객수
나혼자 프린스,2025-11-19,"59,396,400",105375400,"8,073"
정보원,2025-12-03,"51,628,100",4527000,"5,637"
윗집 사람들,2025-12-03,"56,640,800",0,"5,039"
몬스타엑스 : 커넥트 엑스 인 시네마,2025-12-03,"99,950,000",0,"3,998"
퍼스트 라이드,2025-10-29,"31,475,700",6595181340,"3,588"
포레스텔라 : 더 웨이브 인 시네마,2025-11-19,"82,250,000",74425000,"3,290"
세계의 주인,2025-10-22,"31,567,100",1106353550,"2,945"
에이티즈 브이알 콘서트 : 라이트 더 웨이,2025-12-05,"84,315,000",0,"2,555"
맨홀,2025-11-19,"13,535,900",15611100,"1,659"
통잠,2025-11-19,"9,604,600",9415200,"1,630"
너와 나의 5분,2025-11-05,"9,086,500",59237500,"1,106"
한란,2025-11-26,"8,265,300",7996600,915
제이홉 투어 ‘홉 온 더 스테이지’ 더 무비,2025-11-12,"18,775,000",184255000,751
극장판 똘똘이: 아기공룡의 비밀,2025-11-07,"5,454,100",286798000,588
힘,2025-11-27,"4,741,000",1494000,431
보스,2025-10-03,"2,811,000",23375425150,398
고당도,2025-12-10,"3,615,800",0,364
구원자,2025-11-05,"2,323,500",298673010,302
헤어질 결심,2022-06-29,"3,377,000",19795787678,284
고양이를 부탁해,"재개봉일 : 2021-10-13

										2001-10-12","2,775,000",75535990,236
마사이 크로스,2025-11-20,"2,571,100",8979400,234
투모로우바이투게더 브이알 콘서트 : 하트 어택,2025-10-10,"7,623,000",514794000,231
어쩔수가없다,2025-09-24,"2,540,260",28743123170,223
멀고도 가까운,2025-12-03,"1,962,000",0,218
달팽이 농구단,2025-11-12,"1,486,000",57967800,191
나비잠,2018-09-06,"2,418,000",89716950,188
지드래곤 인 시네마 [위버맨쉬],2025-10-29,"4,250,000",645996000,170
"거짓말, 뱀파이어가 어디 있어?",,"4,920,000",0,164
만남의 집,2025-10-15,"1,700,000",97444700,160
지구의 주인은 고양이다,,"1,095,200",26510500,153
용한 소녀,,"1,657,000",15071300,151
바로 지금 여기,2025-09-17,"1,200,000",88830500,150
프랑켄슈타인 : 더 뮤지컬 라이브,2025-09-18,"3,403,200",2289739200,140
3670,2025-09-03,"1,338,000",218276600,136
넌센스,2025-11-26,"1,797,000",3141000,134
바람이 전하는 말,2025-11-05,"1,588,000",32987800,130
전지적 독자 시점,2025-07-23,"1,736,000",10053473360,124
로보카폴리 사막 구조대 이야기,,"893,500",55196500,118
콩나물,,"330,000",3665111,114
나쁜 영화 감독판,,"876,000",0,88
날개는 베개 밑에 숨겨두었어,,"840,000",0,84
극장의 시간들,,"959,000",1980000,75
지구를 지켜라,2003-04-04,"804,000",5264500,75
에스퍼의 빛,2025-11-05,"714,000",15567000,71
